,OR,conc,Firefly,Renilla,Normalized,Project,Plate,Row,Column,Renilla_bgnorm,Firefly_bgnorm,Background_Subtracted,Background_Divided,plate-type,exp datetime
56,AR_74,5,517.818,2518.43,0.205611,EXP_025_50_01 Secondary Screen/map1,Neg,E,9,1,1,1,1,no-odor,2023-01-18 15:16:25
57,Rho-pCI,5,338.437,2813.67,0.120283,EXP_025_50_01 Secondary Screen/map1,Neg,E,10,1,1,1,1,no-odor,2023-01-18 15:16:25
58,Rho-pCI,5,471.727,2122.29,0.222272,EXP_025_50_01 Secondary Screen/map1,Neg,E,11,1,1,1,1,no-odor,2023-01-18 15:16:25
59,Rho-pCI,5,400.722,3046.62,0.13153,EXP_025_50_01 Secondary Screen/map1,Neg,E,12,1,1,1,1,no-odor,2023-01-18 15:16:25
60,AR_53,6,192.69,1961.6,0.0982314,EXP_025_50_01 Secondary Screen/map1,Neg,F,1,1,1,1,1,no-odor,2023-01-18 15:16:25
61,AR_53,6,228.816,1920.49,0.119145,EXP_025_50_01 Secondary Screen/map1,Neg,F,2,1,1,1,1,no-odor,2023-01-18 15:16:25
62,AR_53,6,268.678,1955.37,0.137405,EXP_025_50_01 Secondary Screen/map1,Neg,F,3,1,1,1,1,no-odor,2023-01-18 15:16:25
63,AR_101,6,202.656,1832.04,0.110618,EXP_025_50_01 Secondary Screen/map1,Neg,F,4,1,1,1,1,no-odor,2023-01-18 15:16:25
64,AR_101,6,141.617,1432.17,0.0988828,EXP_025_50_01 Secondary Screen/map1,Neg,F,5,1,1,1,1,no-odor,2023-01-18 15:16:25
65,AR_101,6,171.513,1712.45,0.100157,EXP_025_50_01 Secondary Screen/map1,Neg,F,6,1,1,1,1,no-odor,2023-01-18 15:16:25
66,AR_74,6,448.059,1500.68,0.29857,EXP_025_50_01 Secondary Screen/map1,Neg,F,7,1,1,1,1,no-odor,2023-01-18 15:16:25
67,AR_74,6,540.241,2391.37,0.225913,EXP_025_50_01 Secondary Screen/map1,Neg,F,8,1,1,1,1,no-odor,2023-01-18 15:16:25
68,AR_74,6,602.526,1967.82,0.306189,EXP_025_50_01 Secondary Screen/map1,Neg,F,9,1,1,1,1,no-odor,2023-01-18 15:16:25
69,Rho-pCI,6,426.882,3288.29,0.129819,EXP_025_50_01 Secondary Screen/map1,Neg,F,10,1,1,1,1,no-odor,2023-01-18 15:16:25
70,Rho-pCI,6,469.236,3050.36,0.15383,EXP_025_50_01 Secondary Screen/map1,Neg,F,11,1,1,1,1,no-odor,2023-01-18 15:16:25
71,Rho-pCI,6,463.007,2951.95,0.156848,EXP_025_50_01 Secondary Screen/map1,Neg,F,12,1,1,1,1,no-odor,2023-01-18 15:16:25
72,AR_53,7,223.833,2429.99,0.0921128,EXP_025_50_01 Secondary Screen/map1,Neg,G,1,1,1,1,1,no-odor,2023-01-18 15:16:25
73,AR_53,7,215.113,2011.42,0.106946,EXP_025_50_01 Secondary Screen/map1,Neg,G,2,1,1,1,1,no-odor,2023-01-18 15:16:25
74,AR_53,7,193.936,2077.45,0.093353,EXP_025_50_01 Secondary Screen/map1,Neg,G,3,1,1,1,1,no-odor,2023-01-18 15:16:25
75,AR_101,7,160.302,2142.23,0.0748297,EXP_025_50_01 Secondary Screen/map1,Neg,G,4,1,1,1,1,no-odor,2023-01-18 15:16:25
76,AR_101,7,201.41,1591.62,0.126544,EXP_025_50_01 Secondary Screen/map1,Neg,G,5,1,1,1,1,no-odor,2023-01-18 15:16:25
77,AR_101,7,157.811,1272.72,0.123995,EXP_025_50_01 Secondary Screen/map1,Neg,G,6,1,1,1,1,no-odor,2023-01-18 15:16:25
78,AR_74,7,593.806,2317.87,0.256186,EXP_025_50_01 Secondary Screen/map1,Neg,G,7,1,1,1,1,no-odor,2023-01-18 15:16:25
79,AR_74,7,514.081,2239.39,0.229563,EXP_025_50_01 Secondary Screen/map1,Neg,G,8,1,1,1,1,no-odor,2023-01-18 15:16:25
80,AR_74,7,460.516,2341.54,0.196672,EXP_025_50_01 Secondary Screen/map1,Neg,G,9,1,1,1,1,no-odor,2023-01-18 15:16:25
81,Rho-pCI,7,423.145,2604.39,0.162474,EXP_025_50_01 Secondary Screen/map1,Neg,G,10,1,1,1,1,no-odor,2023-01-18 15:16:25
82,Rho-pCI,7,410.688,3830.19,0.107224,EXP_025_50_01 Secondary Screen/map1,Neg,G,11,1,1,1,1,no-odor,2023-01-18 15:16:25
83,Rho-pCI,7,443.076,6028.93,0.0734916,EXP_025_50_01 Secondary Screen/map1,Neg,G,12,1,1,1,1,no-odor,2023-01-18 15:16:25
84,AR_53,8,207.639,1986.51,0.104524,EXP_025_50_01 Secondary Screen/map1,Neg,H,1,1,1,1,1,no-odor,2023-01-18 15:16:25
85,AR_53,8,258.712,1850.73,0.13979,EXP_025_50_01 Secondary Screen/map1,Neg,H,2,1,1,1,1,no-odor,2023-01-18 15:16:25
86,AR_53,8,181.479,1785.95,0.101615,EXP_025_50_01 Secondary Screen/map1,Neg,H,3,1,1,1,1,no-odor,2023-01-18 15:16:25
87,AR_101,8,169.022,2153.44,0.0784894,EXP_025_50_01 Secondary Screen/map1,Neg,H,4,1,1,1,1,no-odor,2023-01-18 15:16:25
88,AR_101,8,170.268,2479.82,0.0686614,EXP_025_50_01 Secondary Screen/map1,Neg,H,5,1,1,1,1,no-odor,2023-01-18 15:16:25
89,AR_101,8,329.717,2628.06,0.12546,EXP_025_50_01 Secondary Screen/map1,Neg,H,6,1,1,1,1,no-odor,2023-01-18 15:16:25
90,AR_74,8,360.86,1937.93,0.186209,EXP_025_50_01 Secondary Screen/map1,Neg,H,7,1,1,1,1,no-odor,2023-01-18 15:16:25
91,AR_74,8,585.086,1997.72,0.292877,EXP_025_50_01 Secondary Screen/map1,Neg,H,8,1,1,1,1,no-odor,2023-01-18 15:16:25
